y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
19.68,67.5,95.8,0.76565,0.20129,3,7,8,2,5,1,6,6,2,0,0,0,0,4,99,73,1,3,79,62,100,100,1.3
13.25,7.7,107.2,0.20266,2.05081,1,6,1,3,5,0,3,1,1,1,2,0,2,0,2,4,7,1,6,2,0,5,33.26
29.98,3.7,105.4,0.29525,0.59572,57,58,5,5,1,0,42,51,86,90,45,53,17,16,19,0,1,5,7,4,2,0,31.17
29.58,4.9,141.9,0.14763,0.67373,0,1,0,0,4,0,3,3,64,76,30,34,15,11,4,0,6,1,1,1,87,92,39.39
12.8,99.1,106.1,0.52601,0.15903,0,0,0,3,4,6,0,0,4,4,0,1,0,0,97,83,1,0,78,86,3,0,6.33
18.11,75.6,101.5,0.46431,0.30823,4,4,6,2,0,2,4,0,1,0,0,0,0,2,5,0,97,84,76,76,1,0,11.8
26.7,39.6,104.7,0.15906,0.10313,0,0,5,3,2,1,1,6,89,96,54,60,22,39,2,1,0,0,19,20,97,99,21.59
21.65,103,103.8,0.72331,1.4465,14,15,4,6,1,4,15,4,5,0,0,3,5,0,97,70,0,65,80,79,0,0,11.28
19.13,1.6,81.1,0.30564,0.10415,24,25,27,21,19,26,22,31,36,34,28,21,17,10,2,0,6,1,0,6,0,0,44.91
17.34,26,90.1,0.4898,1.72175,32,33,30,33,33,30,47,45,0,2,1,1,1,7,0,5,1,1,3,1,5,0,27.28
14.66,74.1,109.7,0.34746,0.26204,1,8,6,0,1,6,1,2,3,5,5,3,2,0,1,5,0,5,79,81,3,0,16.02
29.6,23.5,122.8,0.54325,2.81399,15,6,0,6,1,2,22,17,0,0,0,0,0,1,0,0,7,1,4,2,0,2,10.71
18.15,16.3,95.3,0.05541,1.53671,31,35,10,17,20,10,4,3,1,0,0,0,5,0,1,0,0,0,0,2,0,4,19.84
17.85,57,107.5,0.21214,0.2041,4,22,0,0,1,6,0,2,3,1,0,0,1,0,0,0,5,0,0,1,3,0,14.52
35,10.6,128.8,0.19525,0.28742,56,59,5,4,23,13,40,30,66,88,32,60,33,35,12,0,0,5,0,4,0,0,28.64
21.04,70.9,91.4,0.42507,0.49916,11,3,4,0,2,5,6,6,0,3,1,0,4,1,95,71,5,1,75,62,99,100,6.11
26.89,56.8,111.1,0.35396,0.84055,6,2,3,6,2,4,8,4,95,100,69,76,55,61,94,84,69,63,58,44,100,98,9.22
16.01,0,0,0.21498,0.21779,51,50,0,2,2,1,5,0,100,97,94,99,88,84,0,7,6,0,45,36,4,1,1.46
28.96,57.7,98,0.18846,5.18561,31,30,2,8,3,0,18,6,1,0,2,0,0,0,70,40,0,0,5,42,100,99,17.19
18.03,58.3,111.3,0.33556,0.03212,4,0,3,1,0,1,3,5,5,0,0,1,2,1,1,0,99,59,85,80,5,1,23.61
10.31,9,7,0.23615,1.90039,9,2,0,0,12,4,53,63,0,4,1,1,3,0,0,6,1,0,0,4,1,0,1.02
35,29.9,95.6,0.49619,1.55541,27,29,8,9,19,14,24,19,99,98,84,90,45,51,25,3,7,12,4,1,0,0,25.3
19.57,0.7,109.6,0.1142,0.49252,4,2,0,3,41,47,65,74,42,39,12,10,10,5,0,0,0,0,3,0,0,1,33.06
23.15,24.6,95.6,1.30593,1.42393,2,1,0,1,5,0,3,0,95,100,80,86,46,64,0,0,2,0,4,0,0,0,17.36
16.7,97.4,100.9,0.16109,4.72767,2,0,3,1,5,8,4,9,2,1,0,3,2,5,6,98,0,0,83,89,2,0,4.78
16.47,12.1,96.7,0.25442,0.59198,8,9,1,1,1,1,24,18,3,0,1,0,2,0,1,0,5,1,4,0,98,100,28.69
18.54,0,18.4,0.09521,0.46958,0,2,4,2,0,1,6,4,2,1,0,0,0,0,1,2,0,1,6,3,0,0,42.6
14.88,48.6,105.1,0.14282,0.85798,15,6,4,1,5,1,24,20,96,97,89,93,78,80,74,66,41,48,49,34,0,3,30.43
19.6,20.2,118.1,0.20614,0.90832,1,0,3,5,2,2,7,1,1,0,3,0,0,2,62,50,33,24,2,6,2,0,19.53
19.07,21.9,91,0.15485,0.1359,22,18,23,17,15,30,18,31,33,38,29,27,23,9,4,5,0,0,4,0,1,2,24.45
9.72,0,0,1.51327,0.74378,0,5,0,0,2,6,3,6,0,0,0,1,0,6,1,4,0,0,0,4,1,2,4.16
16.25,65.8,99,0.26295,1.04532,7,6,1,9,6,6,21,23,90,93,76,86,48,72,45,26,22,16,21,9,0,0,16.76
12.54,14.4,108.7,0.58269,0.9118,18,4,5,6,3,0,18,13,5,0,0,0,0,0,0,0,0,6,4,3,0,1,17.8
26.86,26.5,107.9,2.61019,0.11332,20,23,0,0,13,14,38,35,95,97,56,66,48,54,1,4,3,4,1,3,1,1,27.87
22.6,43.1,112.1,9.8917,1.22018,10,17,3,4,21,7,28,16,91,94,76,90,74,86,0,1,4,0,26,18,0,2,18.93
28.16,33.2,106.6,0.26368,0.31369,68,66,0,4,1,1,23,24,92,93,81,83,44,41,5,0,0,2,2,26,0,3,23.08
21.93,89.2,104.3,5.29885,1.30045,12,15,7,3,5,2,6,6,0,1,0,1,0,1,3,1,97,96,78,78,99,97,11.02
15.55,2.5,103.6,0.04576,0.63974,6,6,6,9,11,11,21,26,0,4,0,0,0,1,0,0,0,7,0,0,1,1,29.99
35,23.4,79.2,0.26119,0.34233,61,62,32,40,31,39,53,49,65,63,50,50,34,28,0,3,0,5,0,0,72,73,32.02
27.72,61.4,96.3,0.45121,0.26307,7,11,2,2,7,2,17,11,99,100,100,96,75,81,2,0,0,78,66,63,0,0,16.83
22.07,59.6,110.2,0.14235,0.05746,3,0,0,6,1,6,0,0,93,94,47,64,23,38,0,1,0,3,26,20,99,98,25.68
29.35,132.2,99.6,0.42681,0.30618,7,3,4,1,0,4,4,6,2,0,2,1,6,0,0,0,2,4,73,61,99,100,8.94
26.22,42.5,114.6,0.46663,1.05216,8,9,3,5,5,1,6,10,100,98,70,80,62,64,93,82,67,61,59,40,96,99,18.75
16.55,0,0,0.55934,0.32982,0,1,15,18,6,5,15,24,67,75,49,55,33,37,1,0,1,3,6,0,92,95,5.37
9.01,27.3,104.7,0.44207,0.80175,16,4,1,2,0,8,0,0,0,2,1,1,6,5,70,38,0,0,53,34,3,0,4.77
15.24,7.2,126.9,0.40095,0.48381,19,15,4,9,27,46,47,71,51,48,23,11,14,11,12,41,29,9,1,0,66,52,35.55
17.23,52.4,103.9,0.1482,0.35198,6,11,0,5,6,7,3,4,0,4,0,0,4,3,98,83,4,4,79,79,99,100,7.6
16.2,79.2,106.5,0.41397,1.10927,3,2,1,0,0,4,1,2,1,0,0,3,1,1,100,92,1,0,89,95,100,100,6.33
16.62,34.2,98.1,0.04111,1.60105,29,35,9,13,12,8,0,4,0,1,0,3,4,0,1,2,0,0,1,3,0,0,25.84
35,24.3,120.4,0.40213,0.77359,39,31,0,2,6,0,6,7,73,88,48,62,37,36,0,4,35,6,0,0,93,96,26.33
15.22,36.3,84.4,0.49108,1.21663,13,7,0,0,23,23,24,24,95,95,99,96,76,83,1,0,3,2,0,7,5,0,13.47
12.04,58.2,104.4,0.55066,0.22996,16,15,4,4,2,5,12,13,0,0,1,0,3,0,0,3,100,75,79,68,0,0,10.77
29.72,37.6,108.3,0.3392,0.40231,67,63,2,0,5,2,24,21,89,93,79,81,43,40,2,4,2,1,0,24,0,2,32.15
14.11,15.5,99.4,0.17562,0.57103,15,7,1,0,0,1,28,13,0,0,0,4,0,1,3,5,1,3,0,0,99,100,19.44
16.3,77,95.8,1.02351,1.19576,1,5,6,2,3,0,9,5,1,0,0,0,5,1,100,68,0,1,86,85,3,0,9.1
21.66,6.7,94.3,0.09959,0.35639,50,47,18,12,2,1,86,90,74,84,30,27,33,27,0,3,6,0,0,0,0,0,32.53
21.82,21.3,146.3,0.34062,0.8139,43,41,6,4,33,34,65,66,52,60,24,30,17,16,11,0,7,6,0,0,80,84,35.36
20.04,32.6,111.2,9.96222,1.27364,18,13,4,8,17,10,28,21,89,97,75,87,77,82,1,0,3,0,20,19,0,0,18.9
29.59,2.6,100,0.40691,0.09766,81,81,27,25,45,41,71,65,33,28,12,4,6,2,34,59,19,23,0,3,67,59,25.18
35,28.7,81.4,0.23953,0.39092,53,54,20,17,32,31,49,39,96,97,88,90,49,68,0,1,1,6,61,40,98,100,17.68
24.27,53.7,104.6,0.38629,0.79592,25,24,8,12,0,2,0,0,100,99,100,100,97,94,2,2,99,77,32,56,97,100,17.85
17.51,23.4,110.7,1.57881,0.35584,15,12,1,1,18,11,29,29,69,71,44,45,15,11,0,0,0,1,4,0,93,93,27.04
12.24,23.7,109,0.62073,0.85766,16,4,9,1,2,7,15,19,1,0,0,0,0,7,2,0,0,0,0,0,0,0,13.43
16.66,77.9,98.8,0.1534,1.28915,0,3,0,1,2,3,6,2,1,1,0,0,1,3,99,72,0,0,93,83,3,0,14.29
17.4,89.5,98.2,0.21546,0.37239,3,11,8,6,0,1,10,4,100,97,100,99,93,96,4,0,7,4,78,68,100,95,13.1
32.19,15.7,0,0.16524,0.19172,72,77,0,0,2,0,27,19,100,99,97,94,88,92,0,2,0,0,47,42,2,0,6.45
17.37,82.8,100.4,0.10528,0.19729,5,6,0,4,4,3,21,17,3,2,0,5,0,0,4,0,0,66,77,71,0,1,6.31
26.05,61.9,113.1,0.33821,0.89994,0,7,2,3,1,5,0,0,1,0,2,4,2,5,2,0,0,2,0,0,0,0,22.28
19.51,61.6,96.8,0.03033,0.61741,3,10,0,1,8,4,17,12,2,0,0,2,1,0,0,0,0,65,78,75,0,0,17.05
13.67,54.9,98.5,0.13409,1.65105,22,13,0,1,0,0,9,15,1,1,1,1,2,0,63,32,6,1,5,25,96,100,20.9
8.62,38,112.9,0.50859,0.62156,14,4,5,1,1,8,13,16,2,0,0,0,0,2,0,2,0,3,5,3,3,0,12.4
19.49,76.4,98.1,0.30963,0.64211,0,3,1,0,1,0,8,2,0,0,1,0,0,4,3,3,0,0,85,81,1,0,2.47
18.23,9.4,99.5,0.01841,0.78684,3,4,1,2,5,8,27,22,5,3,1,0,4,0,0,2,6,1,74,77,0,1,9.78
26.41,3.8,98.3,0.86299,0.60033,62,67,11,16,45,48,74,80,48,47,21,21,16,14,2,3,6,1,3,2,2,0,35.89
14.87,53.3,109.1,0.07371,0.59708,16,18,3,6,0,4,10,16,1,2,3,1,5,1,62,30,7,0,1,25,95,96,24.58
14.04,10.2,115.1,0.18305,8.39865,4,7,0,5,15,32,50,66,81,77,54,39,31,16,18,39,19,22,0,1,0,0,33.3
16.47,1.1,113.8,0.28249,2.06199,0,1,3,0,5,4,40,33,100,100,66,74,48,58,0,0,3,1,1,0,97,100,27.78
16.18,4,87.6,2.42202,1.06683,2,0,1,0,0,3,2,1,96,100,96,100,94,100,1,0,1,2,0,2,0,0,33.12
16.89,15.7,125.8,0.22407,8.8383,6,7,2,1,16,30,53,66,81,71,53,42,31,16,26,40,18,22,0,0,0,0,31.06
13.99,76.6,100.5,1.21279,0.06263,4,4,1,2,0,2,2,1,2,0,0,0,0,0,100,83,1,2,80,81,2,1,3.61
18.15,27.7,99.9,9.6509,2.14502,15,14,8,9,15,12,25,18,89,95,75,89,78,89,0,0,3,2,19,22,1,1,19.31
16.18,0,103.9,0.57554,0.38095,3,1,0,1,0,3,0,2,65,66,56,53,35,27,2,4,2,0,5,3,0,0,46.13
11.36,0,118.4,0.23781,0.65373,0,3,1,0,2,2,2,0,31,20,20,20,11,8,0,0,0,0,0,1,4,1,34.18
21.99,6.5,97.7,1.47145,0.19704,0,4,2,0,0,6,4,3,71,70,65,55,57,50,1,0,3,0,5,1,83,69,33.36
17.66,69.7,103,0.4547,0.30086,1,3,3,3,1,0,4,0,0,0,4,1,7,3,0,0,97,80,78,74,0,0,1.64
16.41,8.9,102.2,0.27974,0.36394,2,1,3,1,4,0,2,0,54,33,16,8,8,9,5,2,7,1,3,0,44,32,28.88
26.04,25.1,79,2.86245,0.13011,5,1,5,2,22,23,30,25,1,2,4,0,5,5,1,0,5,3,1,0,1,0,10.8
6.69,3.6,0,0.29741,0.19596,1,2,5,5,0,2,0,0,0,3,0,0,0,1,0,2,2,3,1,1,0,0,0
14.83,67.6,100.3,0.37003,1.0353,12,12,1,2,0,1,5,4,0,4,0,0,0,5,3,0,1,6,94,87,0,1,13.04
18.6,1.9,21,0.09278,0.89615,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,4,3,39.97
31.23,12.2,134.9,0.26339,0.2593,0,1,0,1,0,1,1,1,66,76,35,32,13,17,4,0,2,1,0,0,89,91,28.48
28.83,126.4,97.3,0.60745,0.2648,6,6,4,1,4,6,6,7,5,3,0,0,5,1,2,3,0,2,74,61,100,99,8.14
20.35,0,0,0.25323,0.47183,20,0,0,1,5,1,54,31,0,1,1,0,6,0,0,0,0,6,1,2,3,2,0.46
11.45,35,100.2,0.39788,0.77969,5,1,8,7,7,6,6,7,0,1,1,0,2,0,72,38,0,0,59,43,0,0,2.91
18.4,77.3,101.1,0.29157,0.45461,1,0,9,6,3,1,7,10,100,98,100,100,95,98,4,2,0,0,79,61,0,0,7.35
12.19,83.8,103.4,0.15159,0.48789,8,3,1,0,0,4,9,12,2,2,1,0,4,2,99,91,0,71,84,79,3,0,5.16
18.92,59.6,103.6,0.26525,1.35533,7,6,1,1,0,0,6,0,0,3,1,0,1,0,99,83,0,1,80,78,100,100,5.52
35,33.3,90.1,0.24286,0.44149,56,58,24,21,32,33,51,44,97,92,89,86,53,62,5,0,0,1,59,41,98,100,29.07
8.18,2.6,0,0.2102,0.35667,50,56,6,1,1,0,0,1,97,97,91,100,91,82,1,6,2,4,50,43,0,0,2.68
13.53,14.5,106.7,0.62753,1.79418,0,3,0,3,3,4,0,4,3,1,0,0,2,0,4,1,0,3,0,0,0,0,16.32
15.59,22.3,96.2,0.47669,0.93196,10,4,1,7,17,16,22,28,100,99,95,98,80,87,0,0,1,0,2,0,0,0,19.87
15.18,23.5,111.3,0.14535,0.09591,5,0,4,4,17,11,48,48,92,93,80,80,51,38,50,54,46,51,0,4,93,89,21.98
23.4,23.5,91,3.19915,0.41198,3,4,2,0,23,25,29,27,0,1,5,2,1,2,5,6,1,0,0,5,0,1,12.33
15.48,40.8,95.2,0.29184,0.22817,20,16,7,5,6,2,10,14,2,1,1,4,7,4,4,0,94,65,69,77,0,3,17.94
14.68,61.2,128,0.49694,0.22317,4,0,5,3,1,0,2,2,0,0,1,1,1,0,98,72,0,5,80,82,0,0,12.34
14.29,20.7,99,0.11778,0.93659,16,15,14,10,32,38,57,65,78,75,51,47,25,21,68,55,40,40,26,13,0,1,21.93
27.77,9.7,117.9,0.40516,0.45939,38,38,1,0,0,2,0,3,65,56,43,33,31,15,1,1,1,2,6,1,2,0,27.28
10.1,0,6.9,0.17193,0.67335,11,7,1,3,9,11,24,20,5,0,0,0,5,5,0,0,6,1,0,3,1,4,1.95
16.29,82.9,100.2,0.28481,0.31379,4,3,3,3,7,3,6,10,0,0,0,0,0,4,98,84,2,4,84,84,0,0,8.1
28.33,27.9,112.2,0.16228,7.13647,30,40,2,2,15,11,26,28,0,0,1,0,2,1,40,21,0,0,31,17,100,99,11.7
19.47,56.6,106.2,0.11747,1.54577,7,3,2,1,18,13,39,33,1,1,0,0,6,1,6,0,0,2,54,61,97,100,9.39
15.83,73.7,104.8,0.06917,0.15203,8,3,0,6,6,4,19,13,5,3,0,0,6,4,1,1,6,69,81,70,1,2,13.61
14,41.3,93,0.29588,0.32434,14,21,7,4,11,6,11,11,0,2,0,0,0,0,0,4,93,67,69,74,2,0,4.79
33.81,74.5,107.6,4.78919,0.83428,55,47,5,4,3,3,22,27,1,0,0,1,0,0,71,35,6,5,2,39,0,0,21.88
18.74,11.2,109.6,0.04488,0.91543,17,20,14,10,30,37,59,59,76,74,55,49,29,28,68,49,38,32,31,18,1,0,25.65
11.13,2.9,112.2,0.13674,0.18465,5,0,0,2,4,0,1,4,0,0,4,0,1,0,0,1,3,3,0,0,0,0,1
29.46,4.4,93.2,0.35555,0.01982,83,79,24,24,50,45,67,61,35,29,13,6,12,3,36,59,21,19,0,4,61,54,39.72
28.33,0,79.1,0.02151,0.14516,55,56,42,45,53,59,73,79,51,40,38,25,24,15,0,6,3,0,6,1,59,43,44.55
18.63,84.2,98.1,0.25331,1.30177,0,0,6,2,8,9,11,5,0,1,0,0,0,0,1,98,5,0,89,86,1,0,0
21.38,32.2,95,0.56454,2.31833,32,29,25,33,30,30,45,40,4,3,0,2,1,0,6,3,4,2,0,3,0,0,34.29
15.91,36.5,88.4,0.50738,0.18361,23,19,14,18,10,15,25,19,0,0,0,0,1,1,3,6,1,0,59,49,98,96,7.91
17.45,25.1,94.4,0.42018,1.59886,0,3,7,0,0,0,0,5,1,0,2,2,0,0,1,1,1,4,35,36,100,100,22.53
33.66,11.7,72.9,0.64397,0.45724,86,91,32,34,54,47,71,63,1,0,1,0,0,0,5,0,0,1,0,3,0,0,29.35
29.18,34.9,119.5,0.20965,0.19876,0,4,0,0,1,4,2,0,95,99,66,84,45,57,47,2,0,3,28,29,0,0,15.13
14.1,77.3,105,0.31611,1.05494,0,5,3,1,1,3,0,2,4,0,1,1,0,1,100,100,1,0,91,93,100,99,7.03
15.76,91.6,102.4,0.40977,1.90647,0,0,1,1,0,1,3,4,1,3,0,0,2,3,98,92,0,0,89,96,100,99,14.95
28.49,3.5,101.4,0.03828,0.15466,41,42,23,11,3,6,2,7,63,63,47,48,32,27,12,2,0,2,1,2,0,0,33.01
31.89,14.7,99.4,0.04211,0.17079,53,50,10,6,16,13,18,16,82,88,32,32,5,4,1,3,4,6,3,6,99,98,34.78
22.54,12,121.4,0.48666,0.3241,48,48,10,7,3,4,52,48,48,63,24,27,19,22,2,6,0,2,0,4,85,90,26.94
28.22,42.8,108.2,0.19316,5.22481,31,27,2,2,8,1,17,7,1,0,1,0,5,6,68,40,2,2,3,37,100,100,13.23
21.79,87.6,98.5,0.17013,0.06145,1,3,10,7,1,4,10,2,100,98,100,100,98,99,0,4,0,2,74,64,0,0,9.34
17.23,14.9,105.3,0.29762,0.87716,0,3,0,6,6,0,0,3,0,0,2,0,0,6,83,1,1,1,55,50,0,0,14.78
25.56,16.4,96.6,0.30442,0.5077,44,40,23,14,1,2,3,2,64,64,50,48,36,27,10,0,0,3,0,2,1,0,41.57
27.53,20.2,95.2,0.41008,0.98825,60,66,3,4,17,7,37,25,62,72,37,38,25,17,2,4,0,1,57,2,3,3,14.93
19,74.1,100.3,0.30404,1.02537,9,11,2,4,8,6,7,3,92,100,95,98,82,95,97,91,71,76,70,26,0,0,15
12.09,13.5,103,0.12904,0.98119,1,1,4,7,6,4,4,2,0,1,0,0,0,2,77,1,0,0,54,48,0,1,5.91
28.11,7.2,100.6,0.10477,0.48942,98,99,10,23,23,34,44,68,68,55,55,39,39,24,0,0,2,3,2,1,0,0,24.44
23.61,9.9,82.3,0.39477,0.31792,84,82,32,23,1,0,0,3,45,50,26,29,17,10,31,61,35,29,14,12,4,0,22.42
13.76,92.7,101.8,0.05664,1.65981,6,1,3,3,6,3,9,5,0,0,0,0,3,1,0,98,6,0,89,85,0,1,4.74
17.14,89.1,103.9,0.29787,0.28091,4,7,3,2,4,0,7,5,99,100,100,98,91,99,0,0,5,5,83,74,98,100,12.39
33.68,21.2,114,0.19209,1.31114,54,50,8,5,12,10,33,22,76,81,61,65,52,57,6,0,7,2,6,2,79,87,29.99
30.01,11.7,97.3,0.52848,1.48148,54,51,0,3,1,3,17,22,0,5,1,4,0,5,2,0,2,1,1,2,100,99,20.82
19.73,73.7,105.6,2.29163,0.93603,8,2,7,1,0,5,17,12,1,0,0,1,0,1,3,2,0,1,76,85,0,2,8.04
13.63,59.7,107.5,0.04958,0.75871,10,8,1,8,10,11,22,21,87,94,73,88,52,69,47,30,22,13,20,9,0,0,12.31
33.27,22.4,91.2,9.31503,0.87302,25,24,14,14,46,34,60,54,81,89,44,48,32,39,72,59,28,31,33,15,94,96,21.49
25.18,36,103.3,9.70376,1.374,20,18,4,7,16,7,26,18,90,95,78,86,71,87,0,0,1,1,20,22,0,1,24.43
19.1,13.2,83,0.1524,0.10489,21,21,21,22,16,24,20,29,37,33,24,26,22,15,2,6,1,0,1,0,0,1,38
24.25,62.4,106.8,0.23666,1.37784,5,1,5,4,11,1,22,16,91,95,100,96,75,77,1,0,0,0,51,61,94,100,12.73
19.95,13.5,77.3,2.05393,0.14355,77,73,41,43,64,69,85,85,38,28,8,0,1,1,9,28,5,0,4,3,51,34,40.95
23.18,7.7,88.7,0.10652,0.97568,45,39,13,16,0,2,83,88,76,83,34,25,32,27,4,3,0,3,0,1,0,0,34.78
13.02,33.7,111.9,0.41667,1.51906,0,1,5,0,6,4,1,0,98,98,100,100,100,99,95,6,0,5,1,3,0,1,9.16
12.03,55.3,86.3,0.30211,0.58351,28,22,4,0,10,8,19,19,0,3,1,0,6,3,7,14,0,2,6,24,99,99,10.34
16.28,8.2,127.8,0.22745,0.16696,15,15,5,14,26,41,50,68,51,42,24,13,12,7,10,39,28,10,1,6,71,51,36.13
11.32,96.4,93.5,0.45723,0.64998,4,20,0,0,4,2,7,10,0,0,0,1,1,0,2,3,4,0,0,3,5,1,11.11
12.82,6.3,104.8,1.01544,1.05487,22,8,9,3,3,2,20,17,1,0,0,4,6,1,4,3,0,3,0,0,0,2,18.1
35,21.8,102.2,0.41764,0.24103,31,27,12,12,14,16,27,16,96,100,89,96,46,55,23,3,1,13,0,0,0,0,16.91
25.74,28.7,107.2,0.30332,1.15812,53,43,7,11,13,14,7,0,69,78,41,34,20,20,1,1,49,3,12,6,3,0,22.53
16.93,31.3,113.3,0.37987,0.61346,0,5,9,11,4,3,0,6,2,4,0,0,2,6,69,43,0,1,55,51,0,0,12.96
7.8,0,2.2,0.39401,1.05035,4,2,0,0,0,2,6,5,0,3,0,4,5,0,0,1,3,0,1,0,0,1,3.28
17.38,59.5,112.2,0.42569,0.05206,5,2,0,7,2,2,8,7,2,0,0,1,4,0,6,2,96,59,83,82,0,2,6.63
35,61,97.5,0.49899,2.27711,56,50,10,10,12,8,19,5,100,98,90,99,68,79,0,0,4,56,2,50,0,0,10.83
7.4,10.1,0,0.44849,1.09014,0,5,3,2,0,0,1,0,0,0,0,4,0,4,4,6,1,6,0,5,0,0,10.51
15.45,81,104.3,0.4212,8.56504,3,2,4,0,0,4,5,6,2,0,0,0,2,5,99,87,7,0,85,88,0,0,21.22
20.04,75.1,96.5,7.53419,0.38016,2,1,0,1,2,3,1,0,0,0,4,0,0,0,92,3,0,0,70,65,0,0,32.47
25.97,7.8,106.9,0.18024,5.57221,83,81,1,11,42,48,53,66,58,52,39,24,18,19,18,33,26,2,0,0,64,55,32.67
12.61,55.6,102.3,0.11324,0.13366,7,3,5,0,5,0,3,7,0,0,2,1,1,0,0,5,2,3,83,78,0,5,19.9
7.47,0,1.3,0.13273,0.72229,15,1,1,0,0,1,0,6,0,0,0,0,1,6,1,0,1,7,1,0,2,0,0
28.11,16.6,110.2,0.81614,0.53643,3,5,4,0,1,4,7,0,81,71,47,50,42,44,1,0,0,1,3,0,0,0,19.45
35,22.2,87.9,0.32921,0.26637,59,63,16,31,43,57,62,80,51,42,33,18,23,13,0,1,0,1,1,1,69,42,43.74
